title,description,year,image,url,url2
Web Developer (Intern): Terra,"Support in website maintenance and updates, improving responsive performance across different devices.
Use of platforms such as WordPress and Sanity for content management and structuring.
Collaboration with the development team, gaining experience in modern web development practices.
Projects: Line Up, Vermilion Club, The Paradise Club, SEI, Seqent, Unison Energy",2026,,,
Programmer: Talio,"Data population and layout generation done in Adobe InDesign using scripting.",2026,,,
Unity Programmer: Talio,"Improving the functionality of a Unity project, fixing the code, generating a smaller build for use on a website and allowing the player to skip scenes.",2025,,,
Tools Programmer & Full Stack Developer: Zarautz Police,"Developed a program aimed at showcasing traffic accidents. For this purpose the user can draw, add images and text, customize the previous functionalities and take screenshots.
Create a proof of concept for the lost and found website while updating Zarautz City Hall website.",2025,,,
